Catalogue.Number,Material,Module,Teeth.Count,Pitch.Diameter..mm.,Bore Diameter (mm),Face.Width..cm.,Tooth.Finish,Heat.Treatment,Lewis.Form.Factor,set screw,keyway,Torque
SSA2-15J10,S45C,2,15,30,10,2,Standard,None,0.289,0,1,29.56
SSA2-15J12,S45C,2,15,30,12,2,Standard,None,0.289,0,1,
SSA2-18J10,S45C,2,18,36,10,2,Standard,None,0.308,0,1,39.28
SSA2-18J12,S45C,2,18,36,12,2,Standard,None,0.308,0,1,39.28
SSA2-18J14,S45C,2,18,36,14,2,Standard,None,0.308,0,1,39.28
SSA2-18J15,S45C,2,18,36,15,2,Standard,None,0.308,0,1,39.28
SSA2-20J12,S45C,2,20,40,12,2,Standard,None,0.32,0,1,45.97
SSA2-20J14,S45C,2,20,40,14,2,Standard,None,0.32,0,1,45.97
SSA2-20J15,S45C,2,20,40,15,2,Standard,None,0.32,0,1,45.97
SSA2-20J16,S45C,2,20,40,16,2,Standard,None,0.32,0,1,45.97
SSA2-20J17,S45C,2,20,40,17,2,Standard,None,0.32,0,1,45.97
SSA2-24J12,S45C,2,24,48,12,2,Standard,None,0.337,0,1,59.75
SSA2-24J14,S45C,2,24,48,14,2,Standard,None,0.337,0,1,59.75
SSA2-24J15,S45C,2,24,48,15,2,Standard,None,0.337,0,1,59.75
SSA2-24J16,S45C,2,24,48,16,2,Standard,None,0.337,0,1,59.75
SSA2-24J17,S45C,2,24,48,17,2,Standard,None,0.337,0,1,59.75
SSA2-24J18,S45C,2,24,48,18,2,Standard,None,0.337,0,1,59.75
SSA2-24J19,S45C,2,24,48,19,2,Standard,None,0.337,0,1,59.75
SSA2-24J20,S45C,2,24,48,20,2,Standard,None,0.337,0,1,59.75
SSA2-25J12,S45C,2,25,50,12,2,Standard,None,0.337,0,1,63.26
SSA2-25J14,S45C,2,25,50,14,2,Standard,None,0.337,0,1,63.26
SSA2-25J15,S45C,2,25,50,15,2,Standard,None,0.337,0,1,63.26
SSA2-25J16,S45C,2,25,50,16,2,Standard,None,0.337,0,1,63.26
SSA2-25J17,S45C,2,25,50,17,2,Standard,None,0.337,0,1,63.26
SSA2-25J18,S45C,2,25,50,18,2,Standard,None,0.337,0,1,63.26
SSA2-25J19,S45C,2,25,50,19,2,Standard,None,0.337,0,1,63.26
SSA2-25J20,S45C,2,25,50,20,2,Standard,None,0.337,0,1,63.26
SSA2-25J22,S45C,2,25,50,22,2,Standard,None,0.337,0,1,63.26
SSA2-28J15,S45C,2,28,56,15,2,Standard,None,0.352,0,1,73.92
SSA2-28J16,S45C,2,28,56,16,2,Standard,None,0.352,0,1,73.92
SSA2-28J17,S45C,2,28,56,17,2,Standard,None,0.352,0,1,73.92
SSA2-28J18,S45C,2,28,56,18,2,Standard,None,0.352,0,1,73.92
SSA2-28J19,S45C,2,28,56,19,2,Standard,None,0.352,0,1,73.92
SSA2-28J20,S45C,2,28,56,20,2,Standard,None,0.352,0,1,73.92
SSA2-28J22,S45C,2,28,56,22,2,Standard,None,0.352,0,1,73.92
SSA2-28J25,S45C,2,28,56,25,2,Standard,None,0.352,0,1,73.92
SSA2-30J15,S45C,2,30,60,15,2,Standard,None,0.358,0,1,81.12
SSA2-30J16,S45C,2,30,60,16,2,Standard,None,0.358,0,1,81.12
SSA2-30J17,S45C,2,30,60,17,2,Standard,None,0.358,0,1,81.12
SSA2-30J18,S45C,2,30,60,18,2,Standard,None,0.358,0,1,81.12
SSA2-30J19,S45C,2,30,60,19,2,Standard,None,0.358,0,1,81.12
SSA2-30J20,S45C,2,30,60,20,2,Standard,None,0.358,0,1,81.12
SSA2-30J22,S45C,2,30,60,22,2,Standard,None,0.358,0,1,81.12
SSA2-30J25,S45C,2,30,60,25,2,Standard,None,0.358,0,1,81.12
SSA2-32J15,S45C,2,32,64,15,2,Standard,None,0.364,0,1,88.39
SSA2-32J16,S45C,2,32,64,16,2,Standard,None,0.364,0,1,88.39
SSA2-32J17,S45C,2,32,64,17,2,Standard,None,0.364,0,1,88.39
SSA2-32J18,S45C,2,32,64,18,2,Standard,None,0.364,0,1,88.39
SSA2-32J19,S45C,2,32,64,19,2,Standard,None,0.364,0,1,88.39
SSA2-32J20,S45C,2,32,64,20,2,Standard,None,0.364,0,1,88.39
SSA2-32J22,S45C,2,32,64,22,2,Standard,None,0.364,0,1,88.39
SSA2-32J25,S45C,2,32,64,25,2,Standard,None,0.364,0,1,88.39
SSA2-32J28,S45C,2,32,64,28,2,Standard,None,0.364,0,1,88.39
SSA2-35J15,S45C,2,35,70,15,2,Standard,None,0.37,0,1,99.34
SSA2-35J16,S45C,2,35,70,16,2,Standard,None,0.37,0,1,99.34
SSA2-35J17,S45C,2,35,70,17,2,Standard,None,0.37,0,1,99.34
SSA2-35J18,S45C,2,35,70,18,2,Standard,None,0.37,0,1,99.34
SSA2-35J19,S45C,2,35,70,19,2,Standard,None,0.37,0,1,99.34
SSA2-35J20,S45C,2,35,70,20,2,Standard,None,0.37,0,1,99.34
SSA2-35J22,S45C,2,35,70,22,2,Standard,None,0.37,0,1,99.34
SSA2-35J25,S45C,2,35,70,25,2,Standard,None,0.37,0,1,99.34
SSA2-35J28,S45C,2,35,70,28,2,Standard,None,0.37,0,1,99.34
SSA2-35J30,S45C,2,35,70,30,2,Standard,None,0.37,0,1,99.34
SSA2-35J32,S45C,2,35,70,32,2,Standard,None,0.37,0,1,99.34
SSA2-36J15,S45C,2,36,72,15,2,Standard,None,0.377,0,1,103.07
SSA2-36J16,S45C,2,36,72,16,2,Standard,None,0.377,0,1,103.07
SSA2-36J17,S45C,2,36,72,17,2,Standard,None,0.377,0,1,103.07
SSA2-36J18,S45C,2,36,72,18,2,Standard,None,0.377,0,1,103.07
SSA2-36J19,S45C,2,36,72,19,2,Standard,None,0.377,0,1,103.07
SSA2-36J20,S45C,2,36,72,20,2,Standard,None,0.377,0,1,103.07
SSA2-36J22,S45C,2,36,72,22,2,Standard,None,0.377,0,1,103.07
SSA2-36J25,S45C,2,36,72,25,2,Standard,None,0.377,0,1,103.07
SSA2-36J28,S45C,2,36,72,28,2,Standard,None,0.377,0,1,103.07
SSA2-36J30,S45C,2,36,72,30,2,Standard,None,0.377,0,1,103.07
SSA2-36J32,S45C,2,36,72,32,2,Standard,None,0.377,0,1,103.07
SSA2-40J18,S45C,2,40,80,18,2,Standard,None,0.389,0,1,117.88
SSA2-40J19,S45C,2,40,80,19,2,Standard,None,0.389,0,1,117.88
SSA2-40J20,S45C,2,40,80,20,2,Standard,None,0.389,0,1,117.88
SSA2-40J22,S45C,2,40,80,22,2,Standard,None,0.389,0,1,117.88
SSA2-40J25,S45C,2,40,80,25,2,Standard,None,0.389,0,1,117.88
SSA2-40J28,S45C,2,40,80,28,2,Standard,None,0.389,0,1,117.88
SSA2-40J30,S45C,2,40,80,30,2,Standard,None,0.389,0,1,117.88
SSA2-40J32,S45C,2,40,80,32,2,Standard,None,0.389,0,1,117.88
SSA2-40J35,S45C,2,40,80,35,2,Standard,None,0.389,0,1,117.88
SSA2-45J18,S45C,2,45,90,18,2,Standard,None,0.399,0,1,136.71
SSA2-45J19,S45C,2,45,90,19,2,Standard,None,0.399,0,1,136.71
SSA2-45J20,S45C,2,45,90,20,2,Standard,None,0.399,0,1,136.71
SSA2-45J22,S45C,2,45,90,22,2,Standard,None,0.399,0,1,136.71
SSA2-45J25,S45C,2,45,90,25,2,Standard,None,0.399,0,1,136.71
SSA2-45J28,S45C,2,45,90,28,2,Standard,None,0.399,0,1,136.71
SSA2-45J30,S45C,2,45,90,30,2,Standard,None,0.399,0,1,136.71
SSA2-45J32,S45C,2,45,90,32,2,Standard,None,0.399,0,1,136.71
SSA2-45J35,S45C,2,45,90,35,2,Standard,None,0.399,0,1,136.71
SSA2-45J40,S45C,2,45,90,40,2,Standard,None,0.399,0,1,136.71
SSA2-48J18,S45C,2,48,96,18,2,Standard,None,0.399,0,1,147.98
SSA2-48J19,S45C,2,48,96,19,2,Standard,None,0.399,0,1,147.98
SSA2-48J20,S45C,2,48,96,20,2,Standard,None,0.399,0,1,147.98
SSA2-48J22,S45C,2,48,96,22,2,Standard,None,0.399,0,1,147.98
SSA2-48J25,S45C,2,48,96,25,2,Standard,None,0.399,0,1,147.98
SSA2-48J28,S45C,2,48,96,28,2,Standard,None,0.399,0,1,147.98
SSA2-48J30,S45C,2,48,96,30,2,Standard,None,0.399,0,1,147.98
SSA2-48J32,S45C,2,48,96,32,2,Standard,None,0.399,0,1,147.98
SSA2-48J35,S45C,2,48,96,35,2,Standard,None,0.399,0,1,147.98
SSA2-48J40,S45C,2,48,96,40,2,Standard,None,0.399,0,1,147.98
SSA2-48J45,S45C,2,48,96,45,2,Standard,None,0.399,0,1,147.98
SSA2-50J18,S45C,2,50,100,18,2,Standard,None,0.408,0,1,155.63
SSA2-50J19,S45C,2,50,100,19,2,Standard,None,0.408,0,1,155.63
SSA2-50J20,S45C,2,50,100,20,2,Standard,None,0.408,0,1,155.63
SSA2-50J22,S45C,2,50,100,22,2,Standard,None,0.408,0,1,155.63
SSA2-50J25,S45C,2,50,100,25,2,Standard,None,0.408,0,1,155.63
SSA2-50J28,S45C,2,50,100,28,2,Standard,None,0.408,0,1,155.63
SSA2-50J30,S45C,2,50,100,30,2,Standard,None,0.408,0,1,155.63
SSA2-50J32,S45C,2,50,100,32,2,Standard,None,0.408,0,1,155.63
SSA2-50J35,S45C,2,50,100,35,2,Standard,None,0.408,0,1,155.63
SSA2-50J40,S45C,2,50,100,40,2,Standard,None,0.408,0,1,155.63
SSA2-50J45,S45C,2,50,100,45,2,Standard,None,0.408,0,1,155.63
SSA2-55J18,S45C,2,55,110,18,2,Standard,None,0.415,0,1,174.66
SSA2-55J19,S45C,2,55,110,19,2,Standard,None,0.415,0,1,174.66
SSA2-55J20,S45C,2,55,110,20,2,Standard,None,0.415,0,1,174.66
SSA2-55J22,S45C,2,55,110,22,2,Standard,None,0.415,0,1,174.66
SSA2-55J25,S45C,2,55,110,25,2,Standard,None,0.415,0,1,174.66
SSA2-55J28,S45C,2,55,110,28,2,Standard,None,0.415,0,1,174.66
SSA2-55J30,S45C,2,55,110,30,2,Standard,None,0.415,0,1,174.66
SSA2-55J32,S45C,2,55,110,32,2,Standard,None,0.415,0,1,174.66
SSA2-55J35,S45C,2,55,110,35,2,Standard,None,0.415,0,1,174.66
SSA2-55J40,S45C,2,55,110,40,2,Standard,None,0.415,0,1,174.66
SSA2-55J45,S45C,2,55,110,45,2,Standard,None,0.415,0,1,174.66
SSA2-55J50,S45C,2,55,110,50,2,Standard,None,0.415,0,1,174.66
SSA2-56J18,S45C,2,56,112,18,2,Standard,None,0.415,0,1,178.48
SSA2-56J19,S45C,2,56,112,19,2,Standard,None,0.415,0,1,178.48
SSA2-56J20,S45C,2,56,112,20,2,Standard,None,0.415,0,1,178.48
SSA2-56J22,S45C,2,56,112,22,2,Standard,None,0.415,0,1,178.48
SSA2-56J25,S45C,2,56,112,25,2,Standard,None,0.415,0,1,178.48
SSA2-56J28,S45C,2,56,112,28,2,Standard,None,0.415,0,1,178.48
SSA2-56J30,S45C,2,56,112,30,2,Standard,None,0.415,0,1,178.48
SSA2-56J32,S45C,2,56,112,32,2,Standard,None,0.415,0,1,178.48
SSA2-56J35,S45C,2,56,112,35,2,Standard,None,0.415,0,1,178.48
SSA2-56J40,S45C,2,56,112,40,2,Standard,None,0.415,0,1,178.48
SSA2-56J45,S45C,2,56,112,45,2,Standard,None,0.415,0,1,178.48
SSA2-56J50,S45C,2,56,112,50,2,Standard,None,0.415,0,1,178.48
SSA2-60J18,S45C,2,60,120,18,2,Standard,None,0.421,0,1,193.78
SSA2-60J19,S45C,2,60,120,19,2,Standard,None,0.421,0,1,193.78
SSA2-60J20,S45C,2,60,120,20,2,Standard,None,0.421,0,1,193.78
SSA2-60J22,S45C,2,60,120,22,2,Standard,None,0.421,0,1,193.78
SSA2-60J25,S45C,2,60,120,25,2,Standard,None,0.421,0,1,193.78
SSA2-60J28,S45C,2,60,120,28,2,Standard,None,0.421,0,1,193.78
SSA2-60J30,S45C,2,60,120,30,2,Standard,None,0.421,0,1,193.78
SSA2-60J32,S45C,2,60,120,32,2,Standard,None,0.421,0,1,193.78
SSA2-60J35,S45C,2,60,120,35,2,Standard,None,0.421,0,1,193.78
SSA2-60J40,S45C,2,60,120,40,2,Standard,None,0.421,0,1,193.78
SSA2-60J45,S45C,2,60,120,45,2,Standard,None,0.421,0,1,193.78
SSA2-60J50,S45C,2,60,120,50,2,Standard,None,0.421,0,1,193.78
SSA2-70J18,S45C,2,70,140,18,2,Standard,None,0.429,0,1,232.42
SSA2-70J19,S45C,2,70,140,19,2,Standard,None,0.429,0,1,232.42
SSA2-70J20,S45C,2,70,140,20,2,Standard,None,0.429,0,1,232.42
SSA2-70J22,S45C,2,70,140,22,2,Standard,None,0.429,0,1,232.42
SSA2-70J25,S45C,2,70,140,25,2,Standard,None,0.429,0,1,232.42
SSA2-70J28,S45C,2,70,140,28,2,Standard,None,0.429,0,1,232.42
SSA2-70J30,S45C,2,70,140,30,2,Standard,None,0.429,0,1,232.42
SSA2-70J32,S45C,2,70,140,32,2,Standard,None,0.429,0,1,232.42
SSA2-70J35,S45C,2,70,140,35,2,Standard,None,0.429,0,1,232.42
SSA2-70J40,S45C,2,70,140,40,2,Standard,None,0.429,0,1,232.42
SSA2-70J45,S45C,2,70,140,45,2,Standard,None,0.429,0,1,232.42
SSA2-70J50,S45C,2,70,140,50,2,Standard,None,0.429,0,1,232.42
SSA2.5-15J12,S45C,2.5,15,37.5,12,2.5,Standard,None,0.289,0,1,57.73
SSA2.5-15J14,S45C,2.5,15,37.5,14,2.5,Standard,None,0.289,0,1,57.73
SSA2.5-15J15,S45C,2.5,15,37.5,15,2.5,Standard,None,0.289,0,1,57.73
SSA2.5-18J12,S45C,2.5,18,45,12,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J14,S45C,2.5,18,45,14,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J15,S45C,2.5,18,45,15,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J16,S45C,2.5,18,45,16,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J17,S45C,2.5,18,45,17,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J18,S45C,2.5,18,45,18,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-18J19,S45C,2.5,18,45,19,2.5,Standard,None,0.308,0,1,76.72
SSA2.5-20J15,S45C,2.5,20,50,15,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-20J16,S45C,2.5,20,50,16,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-20J17,S45C,2.5,20,50,17,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-20J18,S45C,2.5,20,50,18,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-20J19,S45C,2.5,20,50,19,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-20J20,S45C,2.5,20,50,20,2.5,Standard,None,0.32,0,1,89.79
SSA2.5-24J15,S45C,2.5,24,60,15,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J16,S45C,2.5,24,60,16,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J17,S45C,2.5,24,60,17,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J18,S45C,2.5,24,60,18,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J19,S45C,2.5,24,60,19,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J20,S45C,2.5,24,60,20,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J22,S45C,2.5,24,60,22,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-24J25,S45C,2.5,24,60,25,2.5,Standard,None,0.337,0,1,116.7
SSA2.5-25J15,S45C,2.5,25,62.5,15,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J16,S45C,2.5,25,62.5,16,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J17,S45C,2.5,25,62.5,17,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J18,S45C,2.5,25,62.5,18,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J19,S45C,2.5,25,62.5,19,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J20,S45C,2.5,25,62.5,20,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J22,S45C,2.5,25,62.5,22,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J25,S45C,2.5,25,62.5,25,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-25J28,S45C,2.5,25,62.5,28,2.5,Standard,None,0.337,0,1,123.56
SSA2.5-28J18,S45C,2.5,28,70,18,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J19,S45C,2.5,28,70,19,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J20,S45C,2.5,28,70,20,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J22,S45C,2.5,28,70,22,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J25,S45C,2.5,28,70,25,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J28,S45C,2.5,28,70,28,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-28J30,S45C,2.5,28,70,30,2.5,Standard,None,0.352,0,1,144.35
SSA2.5-30J18,S45C,2.5,30,75,18,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J19,S45C,2.5,30,75,19,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J20,S45C,2.5,30,75,20,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J22,S45C,2.5,30,75,22,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J25,S45C,2.5,30,75,25,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J28,S45C,2.5,30,75,28,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J30,S45C,2.5,30,75,30,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-30J32,S45C,2.5,30,75,32,2.5,Standard,None,0.358,0,1,158.48
SSA2.5-32J18,S45C,2.5,32,80,18,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J19,S45C,2.5,32,80,19,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J20,S45C,2.5,32,80,20,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J22,S45C,2.5,32,80,22,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J25,S45C,2.5,32,80,25,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J28,S45C,2.5,32,80,28,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J30,S45C,2.5,32,80,30,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J32,S45C,2.5,32,80,32,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-32J35,S45C,2.5,32,80,35,2.5,Standard,None,0.364,0,1,172.6
SSA2.5-35J18,S45C,2.5,35,87.5,18,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J19,S45C,2.5,35,87.5,19,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J20,S45C,2.5,35,87.5,20,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J22,S45C,2.5,35,87.5,22,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J25,S45C,2.5,35,87.5,25,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J28,S45C,2.5,35,87.5,28,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J30,S45C,2.5,35,87.5,30,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J32,S45C,2.5,35,87.5,32,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J35,S45C,2.5,35,87.5,35,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-35J40,S45C,2.5,35,87.5,40,2.5,Standard,None,0.37,0,1,194.07
SSA2.5-36J18,S45C,2.5,36,90,18,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J19,S45C,2.5,36,90,19,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J20,S45C,2.5,36,90,20,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J22,S45C,2.5,36,90,22,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J25,S45C,2.5,36,90,25,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J28,S45C,2.5,36,90,28,2.5,Standard,None,0.377,0,1,201.33
